train_domain,test_domain,auc
Nepal,Nepal,0.7704326106739224
Nepal,Türkiye,0.5382914949419257
Nepal,Japan,0.428165198185906
Türkiye,Nepal,0.6348021595005069
Türkiye,Türkiye,0.7764705882352941
Türkiye,Japan,0.3650562816743163
Japan,Nepal,0.4954196718228471
Japan,Türkiye,0.4780816785312852
Japan,Japan,0.6593045562850957
