country,auc_mean,auc_sd,spec
Japan,0.6610864829014429,0.004140430563320229,Within-country F0
Nepal,0.7695484335685666,0.001159390864213362,Within-country F0
Türkiye,0.5827858159392789,0.055866605691992734,Within-country F0
Pooled3 (with indicator),0.7894323314019956,0.0018903918461971537,Pooled F0
Pooled3 (no indicator),0.7846172638336569,0.0011120147981176038,Pooled F0
