"id","age","no_stories","no_stories_above_critical_floor_cf","total_height","floor_area","total_floor_area_above_c_f","c_f_column_area","c_f_concrete_wall_area_ns","c_f_concrete_wall_area_ew","c_f_masonry_wall_area_ns","c_f_masonry_wall_area_ew","critical_aac_masonry_wall_area_ns","critical_aac_masonry_wall_area_ew","c_f_concrete_wall_area_max","c_f_concrete_wall_area_min","c_f_masonry_wall_area_max","c_f_masonry_wall_area_min","cd","wd","structural_damage_5_class","structural_damage_3_class","structural_damage_encoding_3_class","critical_damage","critical_damage_encoding","masonry_wall_damage_5_class","masonry_wall_damage_encoding_5_class","captive_columns_presence","captive_column_encoding","column_index_percent","wall_index_ns_percent","wall_index_ew_percent","min_wi_percent","priority_index_percent","soft_story","soft_story_encoding","latitude","longitude","v_s30","t_1_n_10","t_1_0_0466h_0_9","m7_8_repi","m7_8_rrup","m6_7_repi","m6_7_rrup","m7_8_repi_2","m7_8_rrup_2","m6_3_repi","m6_3_rrup","m7_8_pga","m7_8_pgv","m7_8_psa0_3","m7_8_psa0_6","m7_8_psa1_0","m7_8_ai","m7_8_cav","m6_7_pga","m6_7_pgv","m6_7_psa0_3","m6_7_psa0_6","m6_7_psa1_0","m6_7_ai","m6_7_cav","m7_5_pga","m7_5_pgv","m7_7_psa0_3","m7_7_psa0_6","m7_7_psa1_0","m7_7_ai","m7_7_cav","m6_3_pga","m6_3_pgv","m6_3_psa0_3","m6_3_psa0_6","m6_3_psa1_0","m6_3_ai","m6_3_cav","m7_8_sa_t1","m6_8_sa_t1","m7_5_sa_t1","m6_4_sa_t1","pga_max","pgv_max","sa_t1_max","ai_max","cav_max","m7_8_pga_2","m7_8_pgv_2","m7_8_sa0_3","m7_8_sa1_0","m7_8_sa3_0","m6_7_pga_2","m6_7_pgv_2","m6_7_sa0_3","m6_7_sa1_0","m6_7_sa3_0","m7_8_pga_3","m7_8_pgv_3","m7_8_sa0_3_2","m7_8_sa1_0_2","m7_8_sa3_0_2","m6_3_pga_2","m6_3_pgv_2","m6_3_sa0_3","m6_3_sa1_0","m6_3_sa3_0"
"Bld194",19,7,7,22,480,3361,6.4,3.51,3.2,4.425,2.55,0,0,3.51,3.2,4.425,2.55,0.0133333333333333,0.00666666666666667,"S","S",3,"N",0,"S",3,"N",0,0.000952097590002975,0.00117598928890211,0.00102796786670634,0.00102796786670634,0.00198006545670931,"Y",1,37.184914,36.73639,468.7735291,0.7,0.752603665919576,24.735249,1.6853313,13.877808,11.292192,100.10352,87.63562,"130.27473000000001","118.06858",0.533299437,97.61218961,1.254064703,1.15409048,0.858832192,6.058462545,33.08630534,0.309046503,27.81399913,0.606573532,0.545573461,0.221199773,0.783388203,6.8919805,0.054219217,13.41885828,0.109442846,0.092572406,0.049095282,0.10197931,5.146467663,0.023229812,2.171097691,0.055971363,0.031307316,0.024314381,0.010656455,1.453252028,1.04144673714516,0.421821926208368,0.0759854847349001,0.0286394472086567,0.533299437,97.61218961,1.04144673714516,6.058462545,33.08630534,0.60798222,96.152565,1.3899179,1.1644294,0.18475759,0.34504125,23.810577,0.69092727,0.24304673,0.055546768,0.061042089,13.73319,0.1333656,0.083259083,0.033359312,"2.6248741999999999E-2","2.9912450000000002","7.0486418999999995E-2","2.9668849000000001E-2","4.6418081000000003E-3"
"Bld195",11,7,7,19.25,918,6426,21.92,0.53,0,0,0,0,0,0.53,0,0,0,0.0238779956427015,0,"S","S",3,"Y",1,"S",3,"N",0,0.00170557111733582,8.24774354186119e-05,0,0,0.00170557111733582,"N",0,37.182778,36.732778,468.7735291,0.7,0.667380598613448,25.08605,1.5482678,14.205039,11.4901,100.45033,87.790024,"129.91060999999999","117.70325",0.541919568,97.89360744,1.285029311,1.18465176,0.898202828,6.199375598,33.0736582,0.316255701,28.24748989,0.639354591,0.572093404,0.226768809,0.833673894,6.965085233,0.054141775,13.42560016,0.109277494,0.092825817,0.049411311,0.101726248,5.141308532,0.023299452,2.166586984,0.056144466,0.031336123,0.023932132,0.010675878,1.454862877,1.13639900872414,0.513922959182384,0.0855125784930322,0.0300889096357286,0.541919568,97.89360744,1.13639900872414,6.199375598,33.0736582,0.6205523,98.207695,1.4115938,1.1821532,0.18766591,0.34091857,23.664787,0.68557811,0.24264912,0.055504575,0.060400315,13.548005,0.13074665,0.08192607,0.032870486,"2.6359833999999999E-2","2.9962108000000001","7.0930234999999994E-2","3.0111978000000001E-2","4.6828612999999996E-3"
"Bld196",10,7,7,23,465,3257,5.25,2.625,4.65,0,0,0,0,4.65,2.625,0,0,0.0112903225806452,0.00564516129032258,"S","S",3,"Y",1,"S",3,"N",0,0.000805956401596561,0.000805956401596561,0.00142769419711391,0.000805956401596561,0.00161191280319312,"N",0,37.376111,36.839722,393.9980774,0.7,0.783323163380915,22.611713,3.7292387,21.30085,16.613203,76.956711,70.717026,"NaN","NaN",0.587875208,98.21428892,1.49221894,1.083320377,0.511613158,6.498742646,36.67914971,0.441247884,38.90482428,0.6996875,0.761113952,0.420520866,1.16463333,8.598967894,0.066744948,13.05611793,0.162856594,0.096632998,0.035258536,0.133977909,5.642457348,0.02055776,1.931635586,0.060191558,0.025853696,0.014172388,0.008786239,1.352103105,0.821302437213036,0.60501744712203,0.0685045966883956,0.020500060162533,0.587875208,98.21428892,0.821302437213036,6.498742646,36.67914971,0.47915578,76.68515,1.379985,0.58074588,0.23318098,0.24060619,17.206236,0.48926324,0.18303947,0.043517433,0.065494783,16.417023,0.1874862,0.069933981,0.036266889,"NaN","NaN","NaN","NaN","NaN"
"Bld197",19,4,4,13,687,2749,6.9,0,0,0,0,0,0,0,0,0,0,0.0100436681222707,0,"S","S",3,"N",0,"S",3,"N",0,0.00125500181884322,0,0,0,0.00125500181884322,"N",0,37.517222,36.991389,361.5024414,0.4,0.468743149532416,32.483757,7.0057664,37.488304,30.628206,57.554714,58.359829,"NaN","NaN",0.447567615,89.20680917,0.888853868,0.794732332,0.496565182,5.208941618,35.98661618,0.202568428,20.45017562,0.341445275,0.290915577,0.179209996,0.396609632,6.69079263,0.08954818,18.77582328,0.188901857,0.128503602,0.078469519,0.22579412,7.679983723,0.01756844,2.423450456,0.04442827,0.036598829,0.030180735,0.008013074,1.457042976,0.835912653255105,0.313023473715194,0.154929217750127,0.0400243882219393,0.447567615,89.20680917,0.835912653255105,5.208941618,35.98661618,0.50407594,74.145615,1.0387367,0.64173543,0.20945451,0.13162462,10.448977,0.28692281,0.12170305,0.030142345,0.079934679,18.119789,0.18749954,0.11547784,0.045158084,"NaN","NaN","NaN","NaN","NaN"
"Bld198",1,9,7,27,423,2964,5.53,2.889,9.27,0,0,0,0,9.27,2.889,0,0,0.0130732860520095,0.00682978723404255,"S","S",3,"N",0,"S",3,"N",0,0.000932860998650472,0.000974696356275304,0.00312753036437247,0.000974696356275304,0.00190755735492578,"N",0,37.582056,36.964083,576.4987793,0.9,0.904926496021345,39.871384,14.320515,44.124302,36.845432,51.595268,52.37468,"NaN","NaN",0.28224208,42.15715063,0.526188748,0.389753918,0.200700312,1.936217901,21.31697191,0.141825442,12.56710843,0.221360584,0.178336627,0.104802109,0.230737097,4.796392948,0.079616607,16.90018428,0.147910124,0.098445592,0.059635065,0.188107256,6.52760528,0.013126497,1.798440774,0.028862153,0.026418334,0.021384547,0.005768172,1.166896235,0.24563528390555,0.122280069724104,0.0688596969828706,0.0225809964209305,0.28224208,42.15715063,0.24563528390555,1.936217901,21.31697191,0.33444285,40.19894,0.6082679,0.30400842,0.1215956,0.094312623,6.611043,0.18206058,0.070661828,0.018581184,0.082132459,17.865654,0.15650359,0.10187596,0.053887952,"NaN","NaN","NaN","NaN","NaN"
"Bld199",8,7,7,19,208,1456,3.07,1.125,1.435,0,0.412,0,0,1.435,1.125,0.412,0,0.0147596153846154,0.00540865384615385,"S","S",3,"N",0,"S",3,"N",0,0.00105425824175824,0.000772664835164835,0.00101387362637363,0.000772664835164835,0.00182692307692308,"N",0,37.582117,36.970583,576.4987793,0.7,0.659574956582082,39.828033,14.01502,44.216717,36.932018,51.366116,52.175255,"NaN","NaN",0.284881818,43.00069257,0.528475908,0.394658858,0.205402736,1.959279357,21.47669722,0.139560297,12.36575296,0.216832922,0.174464095,0.101974017,0.226268816,4.766301721,0.080158187,16.77883144,0.149462131,0.098552243,0.059489117,0.188874068,6.53246918,0.013489756,1.860290861,0.029014297,0.028126386,0.022517813,0.006121607,1.198385836,0.366471544872392,0.163667611876296,0.092734282911474,0.0272910597675939,0.284881818,43.00069257,0.366471544872392,1.959279357,21.47669722,0.33564541,40.255978,0.60457885,0.30269304,0.11994479,0.094172381,6.6096764,0.18201558,0.07071802,0.018589981,0.081469081,17.381308,0.15453777,0.099223956,0.050719488,"NaN","NaN","NaN","NaN","NaN"
"Bld200",3,10,10,30,276,2760,5,0.1,2.98,1,3.28,0,0,2.98,0.1,3.28,1,0.0181159420289855,0.00036231884057971,"S","S",3,"N",0,"S",3,"Y",1,0.000905797101449275,7.2463768115942e-05,0.00119855072463768,7.2463768115942e-05,0.000978260869565217,"N",0,37.583419,36.974935,578.9935913,1,0.994935772304655,39.938679,13.927605,44.419376,37.121887,51.08165,51.909939,"NaN","NaN",0.284483635,43.15737397,0.525071675,0.393840066,0.205865645,1.948310658,21.44027815,0.137146504,12.1327754,0.212146227,0.170505678,0.099129921,0.221096226,4.722639648,0.080648741,16.7840196,0.150334549,0.09855756,0.059326135,0.189675697,6.536675182,0.013954574,1.935017057,0.029161945,0.030089871,0.023677322,0.006613132,1.241992885,0.208245508172112,0.100033578713439,0.0598228271725321,0.0237585085206089,0.284483635,43.15737397,0.208245508172112,1.948310658,21.44027815,0.3329424,39.492073,0.5916549,0.29266408,0.11631315,0.092328802,6.3904638,0.17586285,0.067591988,0.017889179,0.080901809,16.95326,0.15137547,0.096045598,0.048381273,"NaN","NaN","NaN","NaN","NaN"
"Bld201",9,11,11,35,675,7425,10.6,4.93,6.4,0,0,0,0,6.4,4.93,0,0,0.0157037037037037,0.0073037037037037,"N","L",1,"N",0,"M",2,"N",0,0.000713804713804714,0.000663973063973064,0.000861952861952862,0.000663973063973064,0.00137777777777778,"N",0,38.329167,38.228889,379.3641663,1.1,1.14300243765271,162.88596,32.703575,172.79245,163.28159,97.723763,34.650452,"NaN","NaN",0.166718252,41.96463694,0.313132403,0.280934842,0.185629675,0.525552423,13.34021396,0.011703241,1.781277435,0.026255799,0.029277992,0.018376372,0.00366835,1.107793982,0.268382527,66.2155985,0.430624647,0.556079733,0.354006075,1.322014364,19.09330436,0.002059853,0.525472129,0.004939435,0.004888733,0.003864336,0.000162638,0.315221635,0.17235692698716,0.0170624390043935,0.328694209165566,0.00358803126604544,0.268382527,66.2155985,0.328694209165566,1.322014364,19.09330436,0.17570454,31.281685,0.37237227,0.22674386,0.094189048,0.015213787,1.679143,0.03717535,0.02254134,0.0060316967,0.21116787,28.187279,0.41224584,0.24325132,0.076762311,"NaN","NaN","NaN","NaN","NaN"
"Bld202",5,15,15,42,890,13350,10.6,2.07,2.76,0,0,0,0,2.76,2.07,0,0,0.0119101123595506,0.00232584269662921,"S","S",3,"Y",1,"S",3,"N",0,0.000397003745318352,0.000155056179775281,0.000206741573033708,0.000155056179775281,0.000552059925093633,"N",0,38.3202778,38.2405556,430.1640015,1.5,1.34682223625522,162.82471,31.570841,172.77512,163.26436,98.321091,34.784473,"NaN","NaN",0.165580839,39.51181792,0.307500035,0.26517797,0.1713374,0.506538622,12.82269806,0.010890219,1.589327499,0.023740581,0.025598675,0.015911247,0.003343872,1.038190462,0.260905893,62.77777448,0.414368038,0.51643931,0.319641697,1.219057531,18.03983395,0.001917715,0.470500748,0.004466677,0.004301233,0.003374542,0.000148054,0.294583869,0.141625589888923,0.0131520598669255,0.264212272923024,0.00278935889861143,0.260905893,62.77777448,0.264212272923024,1.219057531,18.03983395,0.17732079,30.043106,0.36726716,0.21413226,0.088390283,0.014826049,1.5990958,0.03535223,0.021065803,0.0056986664,0.20343663,26.480991,0.3901664,0.22322761,0.071333282,"NaN","NaN","NaN","NaN","NaN"
"Bld203",2,10,10,28.5,185,1850,4.9,1.38,1.05,4.4,2.16,0,0,1.38,1.05,4.4,2.16,0.0264864864864865,0.00567567567567568,"S","S",3,"Y",1,"C",4,"N",0,0.00132432432432432,0.000983783783783784,0.000684324324324324,0.000684324324324324,0.00200864864864865,"N",0,37.5711111,36.9169444,571.7178955,1,0.950049624626012,39.316284,15.561888,42.508789,35.331871,54.411766,54.639809,"NaN","NaN",0.2753669,38.5594725,0.541716779,0.377114456,0.178225649,1.922924281,20.93837544,0.166295894,14.72400866,0.270338492,0.219333846,0.134545009,0.279383671,5.120255539,0.075012581,17.98100014,0.134676169,0.096828467,0.060416741,0.179314474,6.441434402,0.012472544,1.672196162,0.029918844,0.021473514,0.017646268,0.005151873,1.121750709,0.203062075418337,0.145133094589185,0.064963689454287,0.0181241989358715,0.2753669,38.5594725,0.203062075418337,1.922924281,20.93837544,0.33338946,46.398895,0.68749815,0.39099604,0.16319558,0.10151668,7.2737379,0.20077622,0.079031453,0.020517718,0.083907634,21.296883,0.16471857,0.12194753,0.080737345,"NaN","NaN","NaN","NaN","NaN"
